controller,time_s,position_m,velocity_mps,command_mps,compute_ms,effective_samples
aware,5.550000000,0.793844387,0.007448685,0.005448751,0.994272003,7602.524237852
aware,5.600000000,0.794236191,0.008223483,-0.003720340,1.004561000,7596.355074399
aware,5.650000000,0.794640071,0.007931690,0.000760552,1.075228000,7603.188026601
aware,5.700000000,0.795006022,0.006706355,0.002331369,1.014630001,7598.551173766
aware,5.750000000,0.795325708,0.006081090,-0.003044176,0.995696999,7599.249141153
aware,5.800000000,0.795619904,0.005686767,-0.004542762,0.996534000,7573.689615731
aware,5.850000000,0.795881289,0.004768615,0.001913758,1.014736001,7606.709705564
aware,5.900000000,0.796095240,0.003789424,0.010130198,1.021261000,7589.366296756
aware,5.950000000,0.796279780,0.003592178,0.008961004,1.003707002,7581.808149224
aware,6.000000000,0.796476577,0.004279721,0.003509659,0.999432003,7583.670571690
aware,6.050000000,0.796702871,0.004772007,-0.010666413,1.006672999,7610.351019378
aware,6.100000000,0.796938152,0.004639258,-0.014139733,0.989976001,7629.486724831
aware,6.150000000,0.797129876,0.003029703,-0.017071575,0.982038000,7614.236977964
aware,6.200000000,0.797236223,0.001224154,-0.001695450,1.000471002,7608.427048974
aware,6.250000000,0.797249330,-0.000699838,-0.005503002,0.988573000,7615.636304263
aware,6.300000000,0.797211721,-0.000804537,-0.007967443,0.998304000,7649.018237283
aware,6.350000000,0.797159142,-0.001298631,-0.009853657,0.996477000,7606.629336101
aware,6.400000000,0.797076678,-0.001999928,-0.005470234,0.993198999,7622.748774435
aware,6.450000000,0.796956034,-0.002825831,-0.015341542,1.003705001,7654.389998344
aware,6.500000000,0.796807790,-0.003103918,-0.013958497,0.998264000,7643.418027983
aware,6.550000000,0.796620421,-0.004390835,-0.009795870,0.994958998,7643.835093937
aware,6.600000000,0.796375726,-0.005396977,-0.011668151,0.997654999,7653.549278539
aware,6.650000000,0.796094313,-0.005859568,-0.009928218,1.001009998,7648.665819099
aware,6.700000000,0.795786063,-0.006470402,-0.006560123,0.999435000,7649.985072219
aware,6.750000000,0.795453452,-0.006834029,-0.010904700,0.999438998,7666.894221951
aware,6.800000000,0.795112471,-0.006805224,-0.002951621,0.999761000,7663.472373636
aware,6.850000000,0.794761432,-0.007236328,-0.007738981,0.988276999,7652.985076343
aware,6.900000000,0.794410880,-0.006785745,-0.000158815,0.979922999,7657.409041506
aware,6.950000000,0.794069087,-0.006885988,0.007759751,0.966898002,7660.803072364
